number,value,params_dino_pipeline_clustering_clusterer_method,params_dino_pipeline_clustering_feature_processing_normalizer_method,params_dino_pipeline_clustering_k_selection_method,params_extractors_dino_v2_layer_name,params_extractors_resnet_layer_name,params_heuristic_settings_filter_params_filter_min_area_perc,params_heuristic_settings_generator_params_points_per_side,params_heuristic_settings_generator_params_pred_iou_thresh,params_heuristic_settings_generator_params_stability_score_thresh,params_heuristic_settings_k_heuristic_formulas_semantic_scale_factor,params_heuristic_settings_k_heuristic_formulas_structural_multiplier,params_resnet_pipeline_clustering_k_selection_method,params_resnet_pipeline_image_preprocessing_use_gaussian_blur,params_run_dino_pipeline,params_run_resnet_pipeline,params_validator_settings_semantic_threshold,params_validator_settings_structural_threshold,params_validator_settings_weights_clip_confidence,params_validator_settings_weights_dino_iou,params_validator_settings_weights_resnet_iou,state,user_attrs_avg_dino_iou,user_attrs_avg_resnet_iou,user_attrs_best_clip_confidence_any,user_attrs_best_dino_iou,user_attrs_best_resnet_iou,user_attrs_error,user_attrs_k_semantic_used,user_attrs_k_structural_used,user_attrs_max_clip_confidence,user_attrs_num_correct_segments,user_attrs_num_sam_masks,user_attrs_value
10,0.0,kmeans,root-norm,silhouette,blocks.11,layer1,0.006792765483572518,8,0.8677140354468567,0.9268656771331476,0.7560821399764215,2.577892453582785,heuristic,True,True,False,0.5311264183678226,0.6846771854798049,0.9543541136064273,0.9644459352558141,0.30628330110654917,COMPLETE,0.3686095094441823,0.0,0.0,0.6267409470752089,0.0,,3,2,0.0,0,2,0.0
11,0.0,graph,l2,heuristic,blocks.7,layer1,0.006782726421850009,16,0.8998546966017751,0.9311193921950643,0.9736118462326478,2.530226565365358,silhouette,True,True,False,0.7377746374468203,0.6268186672925413,0.003807958416833901,0.25522646162273865,0.6901268665357705,COMPLETE,0.38211006878993425,0.0,0.0,0.6751209500073303,0.0,,3,2,0.0,0,2,0.0
12,0.0,graph,l2,heuristic,blocks.7,layer3,0.007402370998502221,16,0.930378226390199,0.9557517584641259,1.180962844609537,2.3313817814703697,heuristic,False,True,False,0.5074667774743723,0.6381318587934875,0.28243670869496385,0.24113146909754984,0.296712236853728,COMPLETE,0.2769800374111876,0.0,0.0,0.45130896634086554,0.0,,3,2,0.0,0,2,0.0
13,0.0,graph,l2,silhouette,blocks.7,layer1,0.00321668829999123,16,0.888777299864463,0.9203511961947912,1.0115253463014988,2.8581597046318006,silhouette,True,True,False,0.6032865494471309,0.49908002804305773,0.9744434505528669,0.2018079571226996,0.6956053761649691,COMPLETE,0.502182083109282,0.0,0.0,0.7905732297317108,0.0,,3,2,0.0,0,2,0.0
14,0.0,kmeans,l2,heuristic,blocks.7,layer2,0.009999054131732825,16,0.9348109578357013,0.9461154985986948,0.7777867594869191,1.9230518632234415,silhouette,False,True,False,0.6757059388366161,0.7475683090235075,0.7917451294983803,0.32232495099291175,0.35401039309671956,COMPLETE,0.38705802363526487,0.0,0.0,0.6850168596979915,0.0,,3,2,0.0,0,2,0.0
15,0.0,graph,l2,silhouette,blocks.7,layer3,0.005575557137368424,8,0.8883240897370516,0.9396284885190997,0.9320860855133046,1.5163830697496072,heuristic,True,True,False,0.5017677438023538,0.566975430153894,0.3512429160062364,0.6420872122433453,0.38598365675033486,COMPLETE,0.38211006878993425,0.0,0.0,0.6751209500073303,0.0,,3,2,0.0,0,2,0.0
16,0.0,graph,l2,heuristic,blocks.7,layer1,0.00810276417376008,16,0.9453811238808176,0.9197950868948163,0.8326015269534117,1.8522455231638515,heuristic,True,True,False,0.5832244617952803,0.46563768382297444,0.014449466243100513,0.1542979348412125,0.6550811767638178,COMPLETE,0.36895767854118017,0.0,0.0,0.6267409470752089,0.0,,3,2,0.0,0,2,0.0
17,0.0,graph,l2,silhouette,blocks.7,layer1,0.005696509501606075,16,0.9060940173376185,0.9599300765041555,1.1056637208642703,2.396393523916645,silhouette,False,True,False,0.6413778406806874,0.6066449140058211,0.765055503192418,0.3958096506747008,0.20367587950059704,COMPLETE,0.392799510910243,0.0,0.0,0.6751209500073303,0.0,,3,2,0.0,0,2,0.0
18,0.0,kmeans,root-norm,silhouette,blocks.11,layer3,0.002493190672099611,8,0.8739035846937903,0.9326938916942566,0.9757707590371328,2.1349773274386252,heuristic,True,True,False,0.5542827184708058,0.5455378581742393,0.3985065877861332,0.5757272691407245,0.8061229310284259,COMPLETE,0.39763926362231294,0.0,0.0,0.7040756487318575,0.0,,3,2,0.0,0,2,0.0
19,0.0,graph,l2,heuristic,blocks.7,layer2,0.004466193056339628,32,0.9195143491787706,0.9185322141668886,0.6896779950619096,1.8165643113427838,silhouette,False,True,False,0.6890312942003237,0.6733822223575125,0.1663862738944819,0.16287008265911893,0.4426429402903227,COMPLETE,0.38127619786590755,0.0,0.0,0.6751209500073303,0.0,,3,2,0.0,0,2,0.0
20,0.0,graph,l2,silhouette,blocks.7,layer3,0.006616731547701529,16,0.851829824155405,0.9456932218983138,0.8228760821126613,2.2207725597843155,heuristic,True,True,False,0.478626821657524,0.4614725814298585,0.6358869481269878,0.7455350698560016,0.5413761630018409,COMPLETE,0.4317385505401493,0.0,0.0,0.7616185310071837,0.0,,3,2,0.0,0,2,0.0
21,0.0,graph,l2,heuristic,blocks.7,layer2,0.003891847122249898,16,0.9483023113607196,0.9779534310894404,0.6423520572172824,1.721475459114387,heuristic,True,False,True,0.40864333554534393,0.7216135113238737,0.640376898414859,0.01773384951032532,0.20770564124999272,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
22,0.0,graph,l2,heuristic,blocks.7,layer2,0.00256108897836754,16,0.9531593084546754,0.974701222087875,0.7531848904962214,1.6757765566731684,heuristic,True,False,True,0.7495919899870369,0.6736267744098696,0.8900719665710435,0.10186476110493896,0.021035043517818715,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
23,0.0,graph,l2,heuristic,blocks.7,layer2,0.004737809801373043,16,0.9351898453366408,0.9700410260644349,0.5036330028013061,1.5095357575288368,heuristic,True,False,True,0.40217184935194883,0.6386991083241764,0.7150348059109948,0.3258697192283717,0.019628201890738873,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
24,0.0,graph,l2,heuristic,blocks.7,layer2,0.003545156271003524,16,0.9409886890621759,0.9000612149584895,0.8944677221811761,1.844287048213512,heuristic,True,True,False,0.5247506048391221,0.7106851992860506,0.566680090640461,0.07530965785346933,0.20225867446459764,COMPLETE,0.392799510910243,0.0,0.0,0.6751209500073303,0.0,,3,2,0.0,0,2,0.0
25,0.0,graph,l2,heuristic,blocks.7,layer2,0.002590200030491811,16,0.9559728739339337,0.9690812035933517,0.7044980061344556,1.6728381361586087,heuristic,True,True,False,0.4631600028879381,0.6042106742977792,0.8609486776722218,0.24989323004202973,0.43916489219410704,COMPLETE,0.3447760095013904,0.0,0.0,0.5212891718688429,0.0,,3,2,0.0,0,2,0.0
26,0.0,kmeans,root-norm,heuristic,blocks.11,layer1,0.006235287648435321,16,0.9071124699488265,0.9612398881543939,0.8078690672070481,1.9668077732400697,silhouette,False,False,True,0.6131573404387889,0.6545665183059967,0.7103546889320442,0.1243388349320538,0.6041096284086664,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
27,0.0,graph,l2,heuristic,blocks.7,layer3,0.0010571208493463714,16,0.9282633092760333,0.9516301611056027,0.9549440739919604,2.9656426244052687,heuristic,True,True,False,0.5797550804998461,0.7007980232133189,0.0907026166569242,0.38504216802684443,0.7680910025345691,COMPLETE,0.39281446585575375,0.0,0.0,0.6751209500073303,0.0,,3,2,0.0,0,2,0.0
28,0.0,graph,l2,silhouette,blocks.7,layer1,0.00418430399223981,32,0.8836621527299601,0.928280746951716,1.045999380667806,1.7981206505493383,silhouette,False,False,True,0.7144457489360384,0.5328910711279232,0.41001323259534217,0.021409396083376272,0.10554180088292896,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
29,0.0,graph,l2,heuristic,blocks.11,layer2,0.005059364123654109,8,0.8594580257774265,0.9141501502739753,1.1115635705656006,2.0370006125199223,silhouette,False,False,True,0.5458228908953302,0.4910291862644143,0.8953755297257334,0.21172905809693154,0.14943889347312544,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
30,0.0,graph,l2,heuristic,blocks.7,layer1,0.0019221487692451054,32,0.9620679234320042,0.9490723656684008,0.8640914301950154,2.166554560705611,heuristic,True,True,False,0.49473831123291007,0.40005272575017964,0.5741319694011988,0.10162924626161912,0.24430592276721452,COMPLETE,0.2947720051948757,0.0,0.0,0.4897736727704285,0.0,,3,2,0.0,0,2,0.0
31,0.0,graph,l2,heuristic,blocks.11,layer1,0.0012925084149997398,32,0.85075793980076,0.9020038031536082,1.1207368336479941,1.9404337960283922,silhouette,False,False,True,0.5559914066301161,0.45300516561259174,0.8141172395460161,0.06956097846763146,0.07294837340080723,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
32,0.0,graph,l2,heuristic,blocks.11,layer1,0.0031313752993723173,32,0.8711892479637138,0.9083578072765123,1.048341896514418,1.6269928725386218,silhouette,False,False,True,0.4521247363242625,0.49290009700854326,0.9871161309532421,0.29032757935281384,0.10754277487786862,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
33,0.0,graph,l2,heuristic,blocks.11,layer3,0.008322021157867713,32,0.8632382480847616,0.9146984336895143,1.006374966749211,2.0238549581912357,silhouette,False,False,True,0.5873474052409443,0.43872518039343306,0.8414901970570687,0.39468977207172046,0.009518221616891335,COMPLETE,0.0,0.19996715152318406,0.0,0.0,0.3278747423557665,,3,2,0.0,0,2,0.0
34,0.0,graph,root-norm,heuristic,blocks.11,layer1,0.002019722216347923,32,0.914889172341103,0.9253738349200201,1.0815541267276112,1.750054503645444,silhouette,False,False,True,0.6384220542081676,0.5123768736569757,0.7266016482794841,0.15584984107071861,0.07873560058002052,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
35,0.0,kmeans,l2,silhouette,blocks.11,layer3,0.007619855626519146,32,0.8821668076762402,0.9060109865341137,0.9134125517332955,1.6136981514232043,silhouette,False,False,True,0.430348858298256,0.5328047120684989,0.9248625726088001,0.011992577163825645,0.1485465912334707,COMPLETE,0.0,0.19996715152318406,0.0,0.0,0.3278747423557665,,3,2,0.0,0,2,0.0
36,0.0,graph,root-norm,heuristic,blocks.7,layer1,0.0036227108421752804,16,0.8562814392870571,0.9355045732218265,1.158756687795115,1.8865081769416456,silhouette,False,False,True,0.5238200968008627,0.584288378550707,0.6598271880175964,0.1763490409456263,0.2512974788981135,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
37,0.0,graph,l2,silhouette,blocks.7,layer3,0.008919033673959732,32,0.975171215646296,0.9115263344173017,1.0065455240490364,1.5976931810555441,heuristic,False,False,True,0.4844956860723105,0.477613077401974,0.27950917612320264,0.4611208212847655,0.9826655606655015,COMPLETE,0.0,0.19996715152318406,0.0,0.0,0.3278747423557665,,3,2,0.0,0,2,0.0
38,0.0,kmeans,l2,heuristic,blocks.11,layer1,0.0029237431551802323,8,0.965456370026483,0.9434768377020883,0.8850713107402106,2.0739168367033174,heuristic,True,True,True,0.5615085164142096,0.4340105482682238,0.47152525881757645,0.5386116757969889,0.16383152524010336,COMPLETE,0.502182083109282,0.4763218569145985,0.0,0.7905732297317108,0.8467036678655542,,3,2,0.0,0,2,0.0
39,0.0,graph,root-norm,silhouette,blocks.7,layer2,0.005973439153053825,16,0.8998666183158532,0.9221485011697403,1.1992745912892369,1.784572305315145,silhouette,False,False,False,0.6545546846732836,0.4061244526689766,0.5733125878485534,0.06317710978387073,0.4447504688653925,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
40,0.0,graph,l2,heuristic,blocks.11,layer1,0.004955510996044158,16,0.8778846376493912,0.9663394009790152,0.9420847199972673,1.9976088025454826,heuristic,True,True,True,0.6056004459117729,0.6071738495931848,0.7645002943228016,0.9389640872075828,0.28793481262797394,COMPLETE,0.5046677785739422,0.4763218569145985,0.0,0.7905732297317108,0.8467036678655542,,3,2,0.0,0,2,0.0
41,0.0,graph,root-norm,silhouette,blocks.7,layer3,0.009461967880022286,32,0.9798724170066772,0.9046803054856339,1.1455106889367905,2.121623925910702,silhouette,False,True,True,0.4360743562824015,0.42050862389909877,0.6582886040875446,0.3171487225816563,0.08280471748422294,COMPLETE,0.502182083109282,0.4763218569145985,0.0,0.7905732297317108,0.8467036678655542,,3,2,0.0,0,2,0.0
42,0.0,graph,root-norm,silhouette,blocks.7,layer3,0.008650602162324205,32,0.9707664494279079,0.9091015377406356,1.0370210524510621,2.2638296824270223,silhouette,False,True,True,0.4557969456710909,0.4485099951375272,0.5298192452923512,0.4261643811663553,0.3483883110320094,COMPLETE,0.509894495809055,0.4763218569145985,0.0,0.7905732297317108,0.8467036678655542,,3,2,0.0,0,2,0.0
43,0.0,graph,root-norm,silhouette,blocks.7,layer3,0.007581091200630121,32,0.9576664644117022,0.9167890572848298,1.0852698852100273,1.898046055260624,silhouette,False,True,True,0.41903246354372004,0.7472057552636134,0.9271324596693024,0.21977354016942302,0.03758006574361833,COMPLETE,0.3153283573301353,0.4763218569145985,0.0,0.49568046075085326,0.8467036678655542,,3,2,0.0,0,2,0.0
44,0.0,graph,root-norm,silhouette,blocks.7,layer3,0.009978044492273106,16,0.8657452512457154,0.9126717151725323,0.5949820037806444,1.7208683949491594,silhouette,False,True,False,0.4736226101208566,0.42684977906759575,0.8210895366710497,0.27853132426439475,0.13980831343876424,COMPLETE,0.502182083109282,0.0,0.0,0.7905732297317108,0.0,,3,2,0.0,0,2,0.0
45,0.0,kmeans,root-norm,silhouette,blocks.7,layer3,0.009236867497622137,32,0.9500905403941566,0.9029648764608852,0.9738994943257623,2.3870143793897003,silhouette,False,True,False,0.5368430401946223,0.47352345708741966,0.770182288364137,0.35357996326289565,0.7710428686812137,COMPLETE,0.3686095094441823,0.0,0.0,0.6267409470752089,0.0,,3,2,0.0,0,2,0.0
46,0.0,graph,l2,silhouette,blocks.7,layer1,0.0015800221461657494,8,0.9256657654664419,0.9252557400512593,1.1515616362203087,1.5372866386057475,silhouette,True,True,True,0.5129633646467008,0.5174767424245579,0.25331166235958624,0.12385201531023114,0.6219443056740561,COMPLETE,0.509894495809055,0.4763218569145985,0.0,0.7905732297317108,0.8467036678655542,,3,2,0.0,0,2,0.0
47,0.0,graph,l2,heuristic,blocks.7,layer3,0.006966927919694274,16,0.9408777187369521,0.9552710167949009,1.069738164014481,2.502113779049172,heuristic,False,True,False,0.44577934781737916,0.5496515545690153,0.3333674023509427,0.1955015294075101,0.8776525678956913,COMPLETE,0.39281446585575375,0.0,0.0,0.6751209500073303,0.0,,3,2,0.0,0,2,0.0
48,0.0,graph,l2,silhouette,blocks.7,layer2,0.0040042941478111655,16,0.9678108283054325,0.9080722702732891,0.7263084671766785,1.952947378468441,silhouette,True,False,False,0.5660577487882774,0.4162143516340481,0.6764722910143784,0.6491331795812818,0.18329363314706215,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
49,0.0,graph,root-norm,heuristic,blocks.7,layer1,0.0054347577531904155,32,0.8967477244199948,0.9218073334375225,0.7961507472959829,1.6633134912594225,heuristic,True,True,True,0.48886487243462506,0.6241055563258179,0.14003884511108622,0.45436881872188445,0.2577934405721457,COMPLETE,0.3844923343956643,0.4763218569145985,0.0,0.6751209500073303,0.8467036678655542,,3,2,0.0,0,2,0.0
50,0.0,kmeans,l2,silhouette,blocks.11,layer3,0.008225358363958348,16,0.9425766250310836,0.9345469940916382,1.0097410133287281,2.7184836848073775,silhouette,False,True,False,0.417646362039239,0.5608933864903771,0.5914305590181603,0.5383994362638496,0.5090872935657553,COMPLETE,0.39281446585575375,0.0,0.0,0.6751209500073303,0.0,,3,2,0.0,0,2,0.0
51,0.0,graph,l2,heuristic,blocks.7,layer3,0.0033981473861832193,32,0.9210749574557886,0.9615554275820611,0.8562502407230876,1.5762100623657762,heuristic,False,False,True,0.4662480173213893,0.45957617402311735,0.022371493594106284,0.880173113260825,0.5651388136809656,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
52,0.0,graph,l2,heuristic,blocks.7,layer3,0.0022372865884642337,32,0.9349591319577031,0.9797384501558887,0.662267701044399,1.76940259490285,heuristic,False,False,True,0.4355576106160173,0.4366443911731623,0.19760370595684834,0.7699507060927108,0.6917851608440612,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
53,0.0,graph,l2,heuristic,blocks.7,layer3,0.0028650903040104763,32,0.9115608556242176,0.9760993094402198,0.90469778463389,1.8798020408942295,heuristic,False,False,True,0.594178941570424,0.410607135584487,0.43142160633044335,0.7440315069737764,0.06424457693900189,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
54,0.0,graph,l2,heuristic,blocks.7,layer2,0.0045174025128254785,16,0.9591569758080709,0.9739881327077394,0.9257750406512273,1.832722230910247,heuristic,True,False,True,0.5069388075631422,0.484091314926141,0.07260023850623065,0.059572159865788815,0.7262598407148417,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
55,0.0,graph,l2,heuristic,blocks.7,layer3,0.0038439198704118493,8,0.9529053764149084,0.9643410018555899,0.8442493105959894,1.6938697800854923,heuristic,False,False,False,0.6900867211551354,0.6624061736153719,0.2324854570059096,0.26136498657201895,0.6439681299174859,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
56,0.0,graph,l2,heuristic,blocks.7,layer1,0.004252864196475036,16,0.9727087061070755,0.9703513860353334,0.7695307671947125,1.51517504195153,heuristic,True,True,True,0.41536098093021584,0.44455561456316667,0.3466589944314252,0.6614434543325957,0.5805121930052497,COMPLETE,0.502182083109282,0.4763218569145985,0.0,0.7905732297317108,0.8467036678655542,,3,2,0.0,0,2,0.0
57,0.0,graph,l2,silhouette,blocks.7,layer2,0.0016724555947446955,32,0.8950123641803632,0.9569304296602112,0.983895315245455,1.6376381965851559,heuristic,False,False,False,0.6230865863679482,0.6981544763219091,0.12565927973640273,0.12990351138290523,0.4809961048942562,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
58,0.0,graph,l2,heuristic,blocks.7,layer3,0.0024426051509714936,16,0.9464517587848091,0.9179189250159574,1.1250208950921137,2.076198721566289,silhouette,True,True,True,0.4042519076038109,0.5099427322989267,0.623943168652936,0.5205517832986561,0.3755450779972117,COMPLETE,0.5060883131675538,0.4763218569145985,0.0,0.7905732297317108,0.8467036678655542,,3,2,0.0,0,2,0.0
59,0.0,graph,l2,heuristic,blocks.11,layer1,0.007216438945397344,32,0.9225740308288654,0.9298298466507225,0.9510324587101969,2.205794087223742,heuristic,False,False,False,0.5729556917002248,0.46854002589048604,0.5054197142029535,0.3479708707135141,0.1168778059586506,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
60,0.0,kmeans,root-norm,silhouette,blocks.7,layer2,0.007959413554500302,16,0.8561359792393887,0.9002064694598763,1.17101980889248,1.8284846832123747,heuristic,True,True,True,0.536881499856625,0.422600353873045,0.07497025543366204,0.8727575237169474,0.00275368728707856,COMPLETE,0.38211006878993425,0.1909017556588136,0.0,0.6751209500073303,0.30664233115379325,,3,2,0.0,0,2,0.0
61,0.0,kmeans,l2,heuristic,blocks.7,layer3,0.005270567665026847,8,0.9639250633613636,0.9512527873434196,0.5905148930484811,1.5685930499887852,heuristic,False,False,True,0.7311787991449665,0.5696226836217674,0.8835851057140938,0.04142623716400867,0.8871586675954768,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
62,0.0,kmeans,l2,heuristic,blocks.7,layer3,0.006413108893096377,8,0.9668211940294377,0.9401995324376375,0.6166926867214169,1.7224252223727508,heuristic,False,False,True,0.6747054768021781,0.5849232412275669,0.7326455218167635,0.09987863070402336,0.8445878165420031,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
63,0.0,kmeans,l2,heuristic,blocks.7,layer3,0.005731359025905269,8,0.9770168190311739,0.9729069877390815,0.5205652273751591,1.7783952032591956,heuristic,False,False,True,0.7297690085967157,0.5035176993719522,0.19534440156952396,0.5909137172727681,0.7203493854060873,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
64,0.0,kmeans,l2,heuristic,blocks.7,layer3,0.004719489031145333,8,0.9309016255939015,0.9412145718330103,0.7481083934441529,1.6420015385638453,heuristic,False,False,True,0.7480948539009857,0.5258206734543723,0.4678585797975636,0.4845353247781551,0.0498386881433918,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
65,0.0,graph,l2,heuristic,blocks.7,layer1,0.003178012376558138,8,0.8706279863059424,0.9062772706553156,0.5525716948787083,1.9938762508265524,silhouette,False,False,True,0.44455125106481175,0.5427794402493278,0.9469723693804212,0.420054597073469,0.8164911271057496,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
66,0.0,graph,l2,heuristic,blocks.11,layer3,0.0028603348770711596,16,0.9385710519969023,0.9470045969122877,0.8805764303881367,1.5484114693543476,heuristic,False,False,False,0.7085633171375142,0.730307513146107,0.03939520610534123,0.2239668599795302,0.6683535090757966,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
67,0.0,kmeans,l2,heuristic,blocks.7,layer2,0.0037601770745807348,32,0.9537137435830105,0.9366785382308425,0.6875543015789111,1.927970509455225,silhouette,True,True,True,0.6509064122871917,0.6279984662588907,0.38160434138055255,0.004960711049674049,0.9554794987629232,COMPLETE,0.4958528491130816,0.4763218569145985,0.0,0.7810438352147779,0.8467036678655542,,3,2,0.0,0,2,0.0
68,0.0,graph,l2,heuristic,blocks.7,layer1,0.0034480636867220147,16,0.9603646562978888,0.9673942910383948,1.0324194378031257,1.6925064864105368,heuristic,False,False,True,0.5215553822587953,0.45880948189687387,0.32144422094947006,0.16665374044376322,0.23066703791836113,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
