number,value,params_dino_pipeline_clustering_clusterer_method,params_dino_pipeline_clustering_feature_processing_normalizer_method,params_dino_pipeline_clustering_k_selection_method,params_extractors_dino_v2_layer_name,params_extractors_resnet_layer_name,params_heuristic_settings_filter_params_filter_min_area_perc,params_heuristic_settings_generator_params_points_per_side,params_heuristic_settings_generator_params_pred_iou_thresh,params_heuristic_settings_generator_params_stability_score_thresh,params_heuristic_settings_k_heuristic_formulas_semantic_scale_factor,params_heuristic_settings_k_heuristic_formulas_structural_multiplier,params_resnet_pipeline_clustering_clusterer_method,params_resnet_pipeline_clustering_feature_processing_normalizer_method,params_resnet_pipeline_clustering_k_selection_method,params_resnet_pipeline_image_preprocessing_use_gaussian_blur,params_run_dino_pipeline,params_run_resnet_pipeline,params_validator_settings_semantic_threshold,params_validator_settings_structural_threshold,params_validator_settings_weights_clip_confidence,params_validator_settings_weights_dino_iou,params_validator_settings_weights_resnet_iou,state,user_attrs_avg_clip_confidence,user_attrs_avg_entropy_labels,user_attrs_consistency_reward,user_attrs_iou_ratio_dino_resnet,user_attrs_iou_variance,user_attrs_k_semantic_used,user_attrs_k_structural_used,user_attrs_mean_iou,user_attrs_num_correct_segments,user_attrs_num_sam_masks,user_attrs_num_segments,user_attrs_semantic_score,user_attrs_semantic_structural_alignment,user_attrs_value
22,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.0015742251136233046,16,0.8997094114543809,0.957246266555909,0.771085093584359,2.4317110000458393,kmeans,root-norm,silhouette,True,False,True,0.7261066379078995,0.7051192180755048,0.9848422449872588,0.8982887804387149,0.9778507249012078,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
23,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.0022762212591708442,16,0.8843220509465732,0.9748644427406864,0.8944768468037044,2.5387161907100264,kmeans,root-norm,silhouette,True,False,True,0.6271978681628528,0.7453778079856019,0.8980003213852409,0.6873369825459276,0.7757274857728381,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
24,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.0024062229924491866,16,0.8951726161425163,0.9538008164020698,0.5950980587283816,2.653379254081023,kmeans,root-norm,silhouette,True,False,True,0.6937552904231785,0.7023297014410266,0.8492528914559727,0.7394843194254086,0.8703417981389664,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
25,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.003267293499823661,16,0.8562763670611195,0.962846701445026,0.6406024426819238,2.0549981193964784,kmeans,root-norm,silhouette,True,False,True,0.5323294191676393,0.6400127707340593,0.9970467437246944,0.7972400554854333,0.6272464834926041,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
26,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.004271012268131241,16,0.8660740727164522,0.9725259003712546,0.794342666604776,2.283880777686416,kmeans,root-norm,silhouette,True,False,True,0.43177328652395974,0.610396715362045,0.7031195909304803,0.5696780441322639,0.6940199534727104,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
27,0.2,kmeans,root-norm,heuristic,blocks.11,layer1,0.008911354125546476,8,0.9274726146354424,0.9525848193735867,0.9518010892564082,2.802171529022846,kmeans,l2,heuristic,False,False,True,0.5906493373136797,0.6565418318899712,0.3253692058109622,0.9750620287582997,0.4793250895785937,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
28,0.2,kmeans,root-norm,heuristic,blocks.7,layer3,0.0025271517867214823,16,0.9121117598954047,0.9600978580890501,0.8671869486542774,1.5208138284170623,graph,root-norm,silhouette,True,False,False,0.5520473416979137,0.7138511063499378,0.836666356705421,0.23790346757382289,0.3480700604578766,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
29,0.2,graph,l2,silhouette,blocks.11,layer2,0.007327417514566841,32,0.8899092570952386,0.9681267406919472,0.7344965327183297,2.4278820558591616,kmeans,l2,silhouette,True,True,True,0.7018922879450741,0.5886745325037347,0.17621758109821417,0.4723483197568969,0.12534646317968834,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
30,0.2,graph,l2,silhouette,blocks.7,layer1,0.0048149090532844056,8,0.916667819854068,0.9002264997393312,0.8562754777295639,2.003041628084298,graph,root-norm,silhouette,True,False,False,0.6606318038275077,0.6151686387597272,0.9281043346034638,0.6267342473934001,0.0639899490550156,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
31,0.2,kmeans,root-norm,heuristic,blocks.7,layer3,0.0039443756160785475,16,0.9373403538052234,0.9107425222687148,0.8120892756321701,1.8295234983556736,graph,root-norm,silhouette,True,False,False,0.4844257253713272,0.6744168077253793,0.49876704998329924,0.34800020351884453,0.2238376595065567,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
32,0.2,graph,l2,silhouette,blocks.7,layer3,0.005938652812030723,16,0.8716805006251446,0.9487248502734621,0.9820797426145299,2.154797424208879,graph,root-norm,silhouette,True,False,False,0.5949332217843395,0.6263189392140568,0.3747552528723075,0.7571346658201568,0.0016709928269762753,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
33,0.2,graph,l2,silhouette,blocks.7,layer3,0.004909594649849071,16,0.9085474738575836,0.9190933722621322,1.0889829324421467,2.125104862353952,graph,root-norm,silhouette,True,False,False,0.5131604407101449,0.7187939269127687,0.2605215499675367,0.859720507480322,0.09894644744163139,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
34,0.2,graph,l2,silhouette,blocks.7,layer3,0.005315340310329767,16,0.9507874801135625,0.9011516386206462,0.8380806505573634,2.5236722575377515,graph,root-norm,silhouette,False,True,False,0.5550655469790822,0.5874166480711609,0.42940363530382797,0.5959608107544269,0.20399174889504895,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
35,0.2,graph,l2,silhouette,blocks.7,layer3,0.0034138853197977475,16,0.9214942017927523,0.9361783950183468,0.9439386458909552,2.248988821979117,graph,root-norm,heuristic,True,False,False,0.6355007814077053,0.5486938855184685,0.5745718238873511,0.6849538795945408,0.5767454588961353,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
36,0.2,graph,l2,silhouette,blocks.7,layer2,0.0028844375495642454,32,0.900985875491062,0.9448369929121684,0.6422094464086971,2.7481701015583915,graph,root-norm,silhouette,False,False,False,0.6774216596823729,0.512886963918517,0.3400224472821173,0.49907624160885034,0.2015539123580296,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
37,0.2,graph,l2,silhouette,blocks.7,layer1,0.009990981146410408,8,0.8814247403238026,0.9071210230852932,0.7786949546183831,2.58569740448394,kmeans,root-norm,heuristic,True,True,False,0.6208494624812734,0.6220951379840446,0.10176019167477918,0.9054587097046448,0.2673498923343591,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
38,0.2,graph,l2,silhouette,blocks.11,layer3,0.004239717135571944,16,0.9652203361479385,0.9271758255726867,1.0666065755517289,2.9239370105361115,graph,root-norm,silhouette,False,False,False,0.7473184876484689,0.6866576511839914,0.24186321784607523,0.06906905290763976,0.0680069139497833,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
39,0.2,kmeans,l2,heuristic,blocks.7,layer2,0.0019013765028235517,8,0.9565976634087952,0.9756779194073263,0.8809278766722275,1.6864871838362356,kmeans,l2,silhouette,True,True,True,0.5851193892101423,0.7313969343605714,0.46620169557069396,0.7121223955118812,0.8953312396611601,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
40,0.2,graph,l2,silhouette,blocks.11,layer3,0.00701653412687539,32,0.9700924563795958,0.9638506504365588,0.9879123141814652,2.409019870827483,graph,root-norm,heuristic,False,False,False,0.47068885451640285,0.4031752828705477,0.6614873962394374,0.8017246306718546,0.3944984483820431,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
